Term	df	offset
levi	1	17141
levinson	1	17142
lew	1	17143
lewi	2	17144
liar	1	17146
liber	1	17147
liberti	1	17148
librari	2	17149
licens	1	17151
lichtenhaeld	1	17152
licketi	1	17153
liden	1	17154
lie	2	17155
lieuten	1	17157
life	40	17158
lifeboat	1	17198
lifeless	1	17199
lifetim	2	17200
lift	1	17202
light	15	17203
light/color	1	17218
lighten	1	17219
lightn	1	17220
lignon	1	17221
likabl	5	17222
like	120	17227
like...ratskiwatski	1	17347
likelihood	1	17348
liken	1	17349
lil	1	17350
lili	1	17351
lilli	1	17352
lillian	2	17353
limb	1	17355
limit	5	17356
lina	1	17361
line	22	17362
liner	1	17384
lines/situ	1	17385
linguist	1	17386
link	120	17387
lion	1	17507
lionel	1	17508
lip	4	17509
lipcomb	1	17513
lisa	3	17514
list	10	17517
listen	5	17527
liter	5	17532
literari	3	17537
literatur	1	17540
lith	1	17541
lithgow	2	17542
littl	56	17544
liu	1	17600
liv	1	17601
live	36	17602
livestock	1	17638
load	2	17639
loath	1	17641
lobo	1	17642
local	17	17643
locat	2	17660
lock	3	17662
locker	1	17665
locust	1	17666
loften	1	17667
logan	1	17668
loggia	1	17669
logic	6	17670
logjam	1	17676
loi	3	17677
lolita	1	17680
lollypop	1	17681
london	1	17682
lone	2	17683
long	33	17685
longer	6	17718
longest	1	17724
longstand	1	17725
look	43	17726
looni	1	17769
loos	4	17770
lord	2	17774
lore	2	17776
lori	1	17778
lorrain	1	17779
los	3	17780
lose	11	17783
loser	2	17794
lost	10	17796
lot	36	17806
lou	3	17842
loud	3	17845
louder	1	17848
loughlin	1	17849
loui	3	17850
louisiana	1	17853
lousi	2	17854
lovabl	2	17856
love	32	17858
loveabl	1	17890
lovecraft	1	17891
lover	4	17892
low	11	17896
lower	2	17907
lox	1	17909
loyalti	1	17910
lr	1	17911
lt	2	17912
luca	3	17914
lucasfilm	1	17917
lucass	2	17918
luci	1	17920
luck	4	17921
lucki	2	17925
lui	3	17927
luminari	1	17930
lunaci	1	17931
lunch	3	17932
lung	1	17935
lurk	1	17936
lust	2	17937
luther	1	17939
luxo	1	17940
lyle	1	17941
lynley	1	17942
lyric	1	17943
m***er	1	17944
m*a*s*h	1	17945
mabou	1	17946
macabr	1	17947
macgyv	1	17948
machin	7	17949
machismo	1	17956
macho	2	17957
mack	1	17959
mad	5	17960
made	51	17965
madison	1	18016
madonna	1	18017
maenza	1	18018
magazin	4	18019
maggot	1	18023
magic	8	18024
magnific	3	18032
magnitud	1	18035
magritt	1	18036
mahjongg	1	18037
mahler	1	18038
maia	1	18039
maibaum	1	18040
maid	1	18041
mail	4	18042
main	19	18046
mainstream	2	18065
maintain	1	18067
majesti	2	18068
major	20	18070
make	94	18090
maker	2	18184
makeup	4	18186
malcolm	1	18190
malcont	1	18191
male	4	18192
malevol	1	18196
malfunct	1	18197
malific	1	18198
malik	1	18199
mall	2	18200
malon	1	18202
mamet	3	18203
man	47	18206
man/whit	1	18253
manag	13	18254
mandatori	1	18267
mangl	1	18268
manhattan	1	18269
mani	43	18270
mania	1	18313
maniac	1	18314
manic	1	18315
manifest	2	18316
manipul	1	18318
mankind	1	18319
manner	4	18320
mano	1	18324
manon	1	18325
mansion	1	18326
manual	28	18327
map	1	18355
mar	3	18356
marathon	1	18359
marcel	1	18360
march	2	18361
mare	1	18363
margin	3	18364
margot	1	18367
mari	2	18368
mariachi	2	18370
mariel	2	18372
marin	1	18374
mario	1	18375
marjori	1	18376
mark	43	18377
market	5	18420
marlon	1	18425
marlow	1	18426
marri	9	18427
marriag	2	18436
marshal	1	18438
martial	1	18439
martin	10	18440
martyr	1	18450
marvel	4	18451
maryam	3	18455
mash	1	18458
mask	1	18459
mason	1	18460
masquerad	1	18461
mass	1	18462
massiv	2	18463
master	1	18465
masterpiec	2	18466
masterwork	1	18468
match	5	18469
materi	6	18474
matern	1	18480
mather	1	18481
matherb	1	18482
mathew	1	18483
matine	4	18484
matron	1	18488
matt	2	18489
matter	9	18491
matthew	2	18500
matur	5	18502
maugham	1	18507
maureen	1	18508
mauric	1	18509
max	4	18510
maxwel	2	18514
maxxxxxxxxx	1	18516
may	26	18517
mayb	11	18543
mayhem	1	18554
mayhew	1	18555
mccabe	1	18556
mccartney	1	18557
mcclement	1	18558
mccowen	1	18559
mcelwe	1	18560
mcquarri	1	18561
me	50	18562
me..........televis	1	18612
me...watch	1	18613
meal	1	18614
mean	19	18615
meaning	2	18634
meaningless	1	18636
meant	3	18637
meantim	1	18640
meanwhil	2	18641
measur	4	18643
meat	1	18647
mechan	3	18648
meddl	1	18651
media	3	18652
medic	1	18655
medicin	1	18656
mediev	1	18657
mediocr	2	18658
mediterranean	1	18660
medium	4	18661
meet	17	18665
megahit	1	18682
meier	1	18683
mel	4	18684
melancholi	1	18688
melina	1	18689
melinda	1	18690
melodrama	3	18691
melodramat	1	18694
melt	3	18695
melvin	1	18698
member	7	18699
memor	5	18706
memori	5	18711
men	22	18716
men...harmless	1	18738
menac	3	18739
menachem	1	18742
menstruat	1	18743
mental	3	18744
mention	11	18747
meo	1	18758
mercenari	2	18759
merchandis	1	18761
merchant	1	18762
merci	2	18763
merciless	1	18765
mercuri	1	18766
mere	5	18767
merest	1	18772
merg	1	18773
merit	3	18774
merlin	1	18777
merri	1	18778
meryl	1	18779
mesh	1	18780
mess	6	18781
messag	5	18787
messeng	1	18792
met	3	18793
metal	4	18796
metaphor	1	18800
metastas	1	18801
metropoli	1	18802
mexican	2	18803
mexico	1	18805
meyer	29	18806
mgm	1	18835
mhnadel@gryphon.cts.com	1	18836
miasma	1	18837
michael	9	18838
michell	3	18847
mickey	2	18850
micro	1	18852
microchip	1	18853
microtom	1	18854
mid	2	18855
middl	4	18857
midget	1	18861
midground	1	18862
midnight	4	18863
midst	1	18867
midsumm	1	18868
midwestern	2	18869
might	30	18871
mike	1	18901
mild	2	18902
mile	4	18904
militar	1	18908
militari	2	18909
milius	1	18911
milk	1	18912
mill	2	18913
miller	7	18915
million	8	18922
milovi	1	18930
milton	1	18931
mind	22	18932
mindless	1	18954
mine	6	18955
ming	1	18961
miniatur	3	18962
minim	3	18965
minimalist	1	18968
minist	2	18969
minor	12	18971
minut	19	18983
miracl	3	19002
mirando	1	19005
miriam	1	19006
mirror	1	19007
misde	1	19008
misdirect	1	19009
miser	1	19010
misfit	2	19011
mish	1	19013
mishandl	1	19014
misrepres	1	19015
miss	14	19016
misshapen	1	19030
mission	3	19031
missus	1	19034
mistak	6	19035
mistreat	1	19041
mistress	1	19042
misunderstand	1	19043
mitt	1	19044
mix	6	19045
miyamato	1	19051
mobil	1	19052
mobster	1	19053
mockingbird	1	19054
mod.someth	1	19055
model	4	19056
moder	2	19060
modern	10	19062
modest	2	19072
modesti	1	19074
modin	2	19075
modul	1	19077
modus	1	19078
moi	1	19079
mold	4	19080
molina	2	19084
moll	3	19086
molli	1	19089
mom	3	19090
mom/dad	1	19093
moment	15	19094
momentari	1	19109
momentum	2	19110
mommi	1	19112
mona	2	19113
monday	2	19115
monetari	1	19117
money	9	19118
moneypenni	2	19127
monger	1	19129
monkey	2	19130
monologu	1	19132
monster	5	19133
montag	1	19138
montana	1	19139
montand	1	19140
month	10	19141
monti	4	19151
mood	8	19155
moodi	2	19163
moon	5	19165
moonlight	1	19170
moonrak	1	19171
moor	4	19172
mop	1	19176
moral	11	19177
morani	1	19188
morant	1	19189
morass	1	19190
more	71	19191
moreov	1	19262
morgan	1	19263
moriarti	29	19264
moriarty@fluke.com	15	19293
moriarty@tc.fluke.com	13	19308
morman	1	19321
morn	3	19322
morningstar	1	19325
moron	2	19326
moros	1	19328
morricon	4	19329
morrison	1	19333
mors	1	19334
mortar	1	19335
mose	1	19336
moskowitz	1	19337
moslem	1	19338
most	63	19339
mother	10	19402
motif	1	19412
motion	4	19413
motiv	2	19417
motley	1	19419
motor	1	19420
motorcycl	1	19421
motorist	1	19422
motorman	1	19423
mount	3	19424
mountain	2	19427
mourn	1	19429
mousi	1	19430
moustach	1	19431
mouth	5	19432
move	17	19437
movement	2	19454
movi	120	19456
moviedom	1	19576
moviego	1	19577
mozart	1	19578
mr	2	19579
mrs	1	19581
mtgzy!ecl@rutgers.rutgers.edu	1	19582
mtgzz!leeper@rutgers.rutgers.edu	37	19583
much	66	19620
muddl	1	19686
mueller	1	19687
mug	1	19688
mugger	1	19689
multi	1	19690
multipli	1	19691
multitud	1	19692
munchkinland	1	19693
mundan	1	19694
mung	1	19695
muppet	2	19696
murder	16	19698
murphi	5	19714
murtholdt	1	19719
muscl	2	19720
mush	1	19722
mushroom	1	19723
music	17	19724
musician	2	19741
must	27	19743
mustard	1	19770
mutant	3	19771
mutat	1	19774
mutil	2	19775
mutter	1	19777
mutual	1	19778
muybridg	1	19779
my	51	19780
myself	6	19831
mysteri	8	19837
mystic	3	19845
mystiqu	1	19848
mythic	3	19849
naaa	1	19852
nadel	1	19853
nadia	2	19854
nadin	1	19856
nadja	1	19857
nag	1	19858
naiv	1	19859
name	26	19860
nanci	3	19886
nang	1	19889
narcissus	1	19890
nari	1	19891
narrat	7	19892
nash	1	19899
nasti	4	19900
nation	6	19904
nativ	1	19910
natur	22	19911
nausea	1	19933
nazi	1	19934
nbire	1	19935
nc	3	19936
near	19	19939
nearbi	5	19958
neat	3	19963
nebbish	2	19966
necess	1	19968
necessari	2	19969
necronomicon	1	19971
need	27	19972
needless	1	19999
neer	1	20000
negat	6	20001
neglect	2	20007
negoti	1	20009
nehru	1	20010
neigbor	1	20011
neighbor	4	20012
neighborhood	1	20016
neil	3	20017
neither	10	20020
nephew	2	20030
nerd	2	20032
nerdi	1	20034
nervous	3	20035
ness	4	20038
nesss	2	20042
nest	1	20044
net	2	20045
netherland	1	20047
netnew	1	20048
network	3	20049
neurot	1	20052
never	50	20053
nevertheless	1	20103
new	45	20104
newel	1	20149
newest	2	20150
newli	2	20152
newman	1	20154
news	4	20155
newscast	1	20159
newsgroup	120	20160
newspap	5	20280
newsreel	1	20285
next	19	20286
nguyen	1	20305
nice	16	20306
nicest	1	20322
nichola	4	20323
nicholson	3	20327
nick	1	20330
nicki	1	20331
nicknam	1	20332
niflheim	1	20333
night	26	20334
nightmar	4	20360
nightmarish	1	20364
nightstalk	1	20365
nine	1	20366
niro	2	20367
nirvana	1	20369
nit	1	20370
nitti	1	20371
no	120	20372
noao}!hao!wood	1	20492
nobel	1	20493
nobodi	8	20494
nobuko	1	20502
noel	2	20503
nois	2	20505
noisi	1	20507
nolt	1	20508
nomin	4	20509
non	7	20513
nonchal	1	20520
none	8	20521
nonetheless	2	20529
nonsens	1	20531
noodl	2	20532
nope	1	20534
nor	7	20535
normal	6	20542
norri	1	20548
north	3	20549
northwest	2	20552
nosc}!crash!gryphon!mhnadel	1	20554
nose	5	20555
nostalg	1	20560
nostalgia	4	20561
not	14	20565
notabl	4	20579
note	9	20583
noth	20	20592
notic	7	20612
notion	1	20619
novel	9	20620
novelist	2	20629
now	35	20631
nowher	3	20666
npr	1	20669
nuclear	6	20670
nude	1	20676
nugget	1	20677
number	18	20678
numbskul	1	20696
numer	2	20697
nurs	1	20699
nut	1	20700
ny	1	20701
oak	1	20702
obey	1	20703
object	2	20704
objection	2	20706
oblig	1	20708
obligatori	3	20709
obol	1	20712
obrien	1	20713
obscen	1	20714
obscur	3	20715
observ	4	20718
obstacl	3	20722
obvious	10	20725
occas	4	20735
occasion	11	20739
occup	2	20750
occupi	2	20752
occur	6	20754
ocean	1	20760
ocp	1	20761
octopussi	1	20762
odd	6	20763
odder	1	20769
oddest	1	20770
odessa	1	20771
odifer	1	20772
odyssey	2	20773
of	29	20775
of...i	1	20804
off	34	20805
offbeat	2	20839
offend	3	20841
offens	3	20844
offer	3	20847
offic	7	20850
offici	3	20857
offspr	1	20860
often	25	20861
oftentim	1	20886
oh	7	20887
ohio	2	20894
oil	1	20896
oili	1	20897
ok	1	20898
okay	3	20899
ol	1	20902
old	40	20903
older	9	20943
oldest	1	20952
oldman	2	20953
olga	1	20955
oliv	1	20956
olivi	1	20957
omero	1	20958
omin	1	20959
omit	1	20960
omni	1	20961
omnisci	1	20962
on	107	20963
onc	26	21070
one	102	21096
onli	67	21198
onstag	1	21265
onto	6	21266
ontogeni	1	21272
open	19	21273
oper	2	21292
opera	1	21294
operandi	1	21295
opinion	3	21296
opportun	2	21299
opposit	2	21301
oppress	1	21303
optic	1	21304
or	80	21305
orang	3	21385
orchestr	3	21388
ordeal	1	21391
order	6	21392
ordinari	3	21398
organ	6	21401
orgen	1	21407
orient	4	21408
origin	120	21412
orign	1	21532
orlean	2	21533
orphan	1	21535
orson	2	21536
orton	2	21538
oscar	3	21540
osd	8	21543
osg	2	21551
ostrac	1	21553
other	54	21554
otherwis	120	21608
otool	1	21728
our	13	21729
ourselv	2	21742
ousman	1	21744
oust	1	21745
out	87	21746
outer	3	21833
outgrowth	1	21836
outhous	1	21837
outing	1	21838
outlay	1	21839
outliv	1	21840
outlook	1	21841
outrag	7	21842
outset	1	21849
outsid	5	21850
outskirt	1	21855
outstand	5	21856
outwit	1	21861
ovat	1	21862
over	47	21863
overact	1	21910
overal	12	21911
overblown	1	21923
overboard	2	21924
overcam	1	21926
overcast	2	21927
overcom	4	21929
overcrowd	1	21933
overhaul	1	21934
overlap	1	21935
overlong	1	21936
overlook	1	21937
oversleep	1	21938
overtim	1	21939
overton	1	21940
overus	1	21941
overweight	1	21942
overwhelm	1	21943
owe	3	21944
owlish	1	21947
own	28	21948
own...in	1	21976
owner	5	21977
oxford	1	21982
oz	4	21983
p.s	2	21987
pace	9	21989
pacif	1	21998
pacifist	2	21999
pack	2	22001
packag	4	22003
pad	2	22007
pagan	1	22009
pagnol	1	22010
paid	5	22011
pain	3	22016
painstak	1	22019
paint	5	22020
pair	2	22025
paisley	1	22027
pajama	2	22028
pakistani	1	22030
palac	3	22031
palett	1	22034
palm	1	22035
pan	5	22036
pandora	1	22041
panorama	1	22042
pantoliano	1	22043
paolo	1	22044
papa	1	22045
paper	2	22046
parachut	2	22048
paradis	1	22050
parallel	3	22051
paramount	1	22054
paramour	1	22055
paranoia	1	22056
pardon	1	22057
parent	10	22058
pari	4	22068
parish	1	22072
park	5	22073
parker	3	22078
parlay	1	22081
parlor	1	22082
parochi	1	22083
parodi	8	22084
part	46	22092
parti	8	22138
partial	2	22146
particl	1	22148
particular	33	22149
partner	4	22182
pass	11	22186
passag	1	22197
passion	1	22198
past	8	22199
past/pres	1	22207
pastich	1	22208
patch	1	22209
patent	2	22210
path	3	22212
patho	1	22215
patienc	1	22216
patient	2	22217
patriarch	2	22219
pattern	1	22221
paul	6	22222
paulin	1	22228
paunch	1	22229
paw	1	22230
pay	6	22231
pbs	3	22237
pbss	1	22240
pea	1	22241
peac	3	22242
peak	2	22245
peanut	2	22247
peasant	1	22249
peck	1	22250
peckinpah	1	22251
peculiar	2	22252
pedestrian	3	22254
pee	3	22257
peer	1	22260
peggi	2	22261
pell	1	22263
pen	1	22264
pena	1	22265
penalti	1	22266
pendelton	1	22267
pendleton	1	22268
pentagon	1	22269
penthous	1	22270
peopl	55	22271
people/bad	1	22326
peplo	1	22327
pepsi	1	22328
per	2	22329
perceiv	1	22331
percept	1	22332
perenniel	1	22333
perfect	19	22334
perfom	1	22353
perform	26	22354
perhap	32	22380
peril	1	22412
period	5	22413
perki	1	22418
permeat	1	22419
permiss	1	22420
perpetu	1	22421
perri	1	22422
persecut	2	22423
persever	1	22425
persian	1	22426
person	32	22427
persona	3	22459
personif	2	22462
personifi	1	22464
perspect	3	22465
pervad	1	22468
peter	11	22469
peterson	1	22480
petti	2	22481
peyton	1	22483
pfeiffer	2	22484
pfieffer	1	22486
pg	1	22487
phallic	1	22488
phenomen	2	22489
philab	4	22491
philip	2	22495
phillip	2	22497
philosoph	7	22499
philosophi	3	22506
phone	4	22509
phoney	1	22513
photo	1	22514
photograph	2	22515
photographi	8	22517
phrase	1	22525
physic	4	22526
physiolog	1	22530
pi	1	22531
pic	1	22532
pick	12	22533
picker	1	22545
picket	1	22546
picki	1	22547
pickl	1	22548
pictur	16	22549
picturesqu	1	22565
pie	2	22566
piec	11	22568
pierc	3	22579
pierr	1	22582
pig	2	22583
pilat	1	22585
pile	1	22586
pill	1	22587
pillar	1	22588
pilot	3	22589
pimp	1	22592
pin	1	22593
pineappl	1	22594
ping	1	22595
pinnochio	1	22596
pinter	1	22597
pipe	1	22598
piper	1	22599
piss	1	22600
pistol	1	22601
pit	1	22602
pitch	1	22603
pitcher	1	22604
pithi	1	22605
piza	1	22606
place	30	22607
placement	1	22637
placid	1	22638
plagu	2	22639
plaid	1	22641
plain	3	22642
plan	11	22645
plane	5	22656
planet	3	22661
planetari	1	22664
planetscap	1	22665
plant	1	22666
plastic	1	22667
platoon	4	22668
plausibl	3	22672
play	69	22675
player	4	22744
playtim	1	22748
playwright	2	22749
plead	1	22751
pleas	120	22752
pleasant	5	22872
pleasur	3	22877
plenti	2	22880
plot	52	22882
plotlin	1	22934
plucki	1	22935
plug	1	22936
plus	2	22937
pm	1	22939
po	1	22940
pocket	1	22941
podg	2	22942
pogu	2	22944
point	38	22946
pointless	3	22984
poison	1	22987
poke	3	22988
poker	1	22991
pol	1	22992
polanski	1	22993
poledouri	1	22994
polic	15	22995
policeman	5	23010
policemen	1	23015
polici	2	23016
polish	2	23018
polit	14	23020
politician	1	23034
pollner	3	23035
pond	2	23038
pong	1	23040
pontius	1	23041
poo	1	23042
pool	1	23043
poor	12	23044
pop	2	23056
popcorn	1	23058
popul	5	23059
popular	11	23064
porki	1	23075
portfolio	1	23076
portion	3	23077
portrait	2	23080
portray	10	23082
poseidon	1	23092
posit	9	23093
possess	2	23102
possibl	6	23104
post	120	23110
poster	1	23230
pot	2	23231
potato	1	23233
potemkin	1	23234
potenti	4	23235
poughkeepsi	1	23239
pound	3	23240
pouti	1	23243
pow	1	23244
powel	2	23245
power	19	23247
practic	6	23266
prais	1	23272
prank	1	23273
pray	2	23274
pre	4	23276
preachi	1	23280
preced	1	23281
precis	2	23282
predat	2	23284
predecessor	4	23286
predict	10	23290
predomin	1	23300
prefac	1	23301
prefer	3	23302
pregnant	1	23305
preiss	1	23306
prejudic	3	23307
premier	1	23310
premis	9	23311
prepar	1	23320
preposter	1	23321
prequel	1	23322
presenc	4	23323
present	15	23327
presid	1	23342
press	1	23343
pressberg	1	23344
pressur	4	23345
preston	1	23349
presum	2	23350
pretend	1	23352
pretenti	1	23353
pretti	28	23354
preview	2	23382
previous	14	23384
price	3	23398
prick	4	23401
pride	1	23405
priest	1	23406
priestess	1	23407
primari	2	23408
primarili	2	23410
prime	4	23412
primit	2	23416
princess	1	23418
princip	3	23419
principl	2	23422
print	2	23424
prior	2	23426
prise	1	23428
prison	5	23429
privaci	1	23434
privat	6	23435
privi	1	23441
privileg	1	23442
prize	3	23443
probabl	25	23446
probe	1	23471
problem	19	23472
proceed	2	23491
process	3	23493
prod	1	23496
prodigi	1	23497
produc	30	23498
product	14	23528
profan	2	23542
profess	1	23544
profession	3	23545
professor	2	23548
profici	1	23550
profit	3	23551
profound	1	23554
program	5	23555
progress	9	23560
project	11	23569
projectionist	1	23580
prolong	1	23581
promin	1	23582
promis	1	23583
promot	5	23584
prompt	2	23589
pronounc	2	23591
proof	1	23593
proper	6	23594
proport	4	23600
prostitut	1	23604
protagonist	2	23605
protect	3	23607
protest	1	23610
protozoa	1	23611
prove	5	23612
proven	1	23617
provid	13	23618
provinc	1	23631
provinci	1	23632
provok	2	23633
prowess	1	23635
prudenc	1	23636
prudish	2	23637
pryce	1	23639
psychedel	1	23640
psychiatri	1	23641
psychiatrist	2	23642
psycho	5	23644
psychoanalyst	1	23649
psychologist	2	23650
psychopath	1	23652
psychot	2	23653
ptsfa!bnk	1	23655
pubesc	2	23656
public	5	23658
publish	2	23663
puddin	1	23665
pueril	1	23666
pull	12	23667
pulp	1	23679
pun	3	23680
punch	2	23683
punctuat	1	23685
pungent	1	23686
punk	3	23687
puppet	2	23690
puppetri	1	23692
pur	1	23693
pure	8	23694
puriti	1	23702
purpl	1	23703
purport	2	23704
purpos	6	23706
purs	1	23712
push	4	23713
pusher	1	23717
pushkin	1	23718
put	18	23719
putter	2	23737
python	4	23739
pythonisqu	1	23743
quaid	3	23744
quaint	1	23747
qualifi	1	23748
qualiti	14	23749
quantum	1	23763
quarter	3	23764
quarterback	1	23767
queen	1	23768
quest	5	23769
question	11	23774
queu	1	23785
quibbl	2	23786
quick	14	23788
quicken	1	23802
quicki	1	23803
quiet	4	23804
quinn	2	23808
quintuplet	2	23810
quip	1	23812
quirki	1	23813
quit	23	23814
quiz	2	23837
quizz	1	23839
quot	4	23840
r&d	1	23844
rabbit	3	23845
rabbl	1	23848
race	3	23849
racehors	1	23852
radic	2	23853
radio	2	23855
raft	2	23857
rage	2	23859
raid	1	23861
raider	2	23862
railsback	1	23864
rain	3	23865
raini	1	23868
rainier	1	23869
rais	7	23870
ralph	2	23877
rambl	2	23879
rambo	5	23881
ramen	1	23886
ramif	1	23887
rampl	1	23888
ran	3	23889
rancher	1	23892
randal	1	23893
randi	1	23894
random	3	23895
rang	5	23898
ranger	3	23903
rank	1	23906
ransack	1	23907
rant	2	23908
rantess	1	23910
raoul	1	23911
rap	1	23912
rape	2	23913
rapid	2	23915
rapp	1	23917
raquetbal	1	23918
rare	12	23919
rasck	1	23931
rat	3	23932
rate	42	23935
rather	22	23977
rattl	1	23999
rave	1	24000
ray	1	24001
raymond	1	24002
re	5	24003
reach	4	24008
react	5	24012
reaction	4	24017
reactor	2	24021
read	17	24023
reader	2	24040
readi	4	24042
reagan	1	24046
real	39	24047
realism	3	24086
realist	9	24089
realiti	9	24098
realiz	14	24107
realli	52	24121
reap	1	24173
rear	3	24174
reason	29	24177
reassert	1	24206
rebel	4	24207
rebellion	1	24211
rebuild	1	24212
rebuilt	1	24213
rec.arts.com	1	24214
rec.arts.movi	1	24215
rec.arts.movies.review	120	24216
recal	4	24336
recaptur	1	24340
receiv	4	24341
recent	22	24345
recess	1	24367
recip	1	24368
reckless	2	24369
reclus	1	24371
recogn	6	24372
recognit	1	24378
recommend	12	24379
record	9	24391
recount	4	24400
recoup	1	24404
recov	2	24405
recruit	2	24407
recurs	1	24409
recycl	2	24410
red	4	24412
redgrav	2	24416
redneck	1	24418
reduc	1	24419
redund	1	24420
redux	1	24421
reek	1	24422
reel	2	24423
reenlarg	2	24425
reev	2	24427
refer	4	24429
reflect	3	24433
reflex	1	24436
reform	2	24437
refrain	1	24439
refram	1	24440
refresh	2	24441
refuge	1	24443
refurbish	1	24444
refus	4	24445
regain	1	24449
regal	1	24450
regard	2	24451
reggio	1	24453
region	1	24454
regrett	1	24455
regular	3	24456
regurgit	1	24459
rehash	1	24460
reid	1	24461
reidar	1	24462
reiher	2	24463
reiher@locus.ucla.edu	2	24465
reimer	1	24467
reiner	1	24468
reinforc	1	24469
reinhold	1	24470
reintroduc	1	24471
reject	1	24472
relat	120	24473
relationship	10	24593
relay.arpa	1	24603
releas	16	24604
relev	120	24620
reli	4	24740
relianc	1	24744
relief	3	24745
reliev	3	24748
religi	5	24751
religion	5	24756
reluct	1	24761
remain	4	24762
remak	3	24766
remark	3	24769
remedi	1	24772
rememb	15	24773
remembr	1	24788
remind	11	24789
reminisc	6	24800
remo	2	24806
remors	2	24808
remov	2	24810
renam	1	24812
render	1	24813
render@b.cs.uiuc.edu	1	24814
render@uiuc.csnet	1	24815
rendit	1	24816
renounc	1	24817
rent	2	24818
repair	1	24820
repairmen	1	24821
repeat	5	24822
repertori	2	24827
repetit	1	24829
replac	5	24830
repo	1	24835
repoman	1	24836
report	7	24837
repres	8	24844
represent	1	24852
repress	1	24853
repris	2	24854
reproduc	1	24856
repuls	1	24857
reput	1	24858
request	1	24859
requir	7	24860
rescu	3	24867
research	5	24870
resembl	6	24875
resent	1	24881
reserv	2	24882
resid	2	24884
resign	1	24886
resolut	1	24887
resolv	3	24888
resort	1	24891
resound	1	24892
resourc	1	24893
respect	7	24894
respond	3	24901
respons	120	24904
rest	23	25024
restaur	5	25047
restless	1	25052
reston	10	25053
restor	4	25063
restrain	1	25067
restraint	2	25068
result	12	25070
resurrect	2	25082
retain	2	25084
retali	1	25086
retel	1	25087
retic	1	25088
retir	1	25089
retitl	1	25090
retreat	2	25091
retribut	1	25093
retriev	2	25094
retrospect	2	25096
return	16	25098
reunit	1	25114
reveal	7	25115
revel	5	25122
reveng	4	25127
revers	3	25131
review	120	25134
revisionist	1	25254
revit	1	25255
reviv	1	25256
revolut	1	25257
revolutionari	1	25258
revolv	1	25259
reward	1	25260
rewrit	1	25261
rewrot	1	25262
rhino	1	25263
rhodenbarr	1	25264
rhys	3	25265
rib	1	25268
rich	4	25269
richard	5	25273
richardson	1	25278
richi	1	25279
rick	2	25280
ride	6	25282
rider	2	25288
ridicul	7	25290
rife	1	25297
rifl	1	25298
rig	1	25299
rigg	2	25300
right	31	25302
righteous	4	25333
riguer	1	25337
ring	3	25338
ringlead	1	25341
rio	1	25342
riot	1	25343
rip	2	25344
ripe	2	25346
ripoff	1	25348
rise	3	25349
risk	6	25352
riski	2	25358
rita	1	25360
ritchi	2	25361
rite	1	25363
ritual	2	25364
ritzier	1	25366
rival	2	25367
river	1	25369
rivet	2	25370
road	6	25372
roar	1	25378
rob	6	25379
robber	1	25385
robberi	3	25386
robert	17	25389
roberts	1	25406
roboc	1	25407
robocop	5	25408
robot	3	25413
rock	6	25416
rocket	1	25422
rocki	1	25423
rod	1	25424
rodent	1	25425
roger	8	25426
rogueish	1	25434
role	35	25435
roll	6	25470
roller	1	25476
rom	1	25477
roman	1	25478
romanc	7	25479
romant	4	25486
romantic	1	25490
romeo	1	25491
romero	1	25492
romp	2	25493
ron	2	25495
ronald	1	25497
room	10	25498
roommat	1	25508
roommate/lov	1	25509
root	1	25510
rosana	1	25511
rosanna	1	25512
rose	3	25513
rosemari	1	25516
rosenzw@svax.cs.cornell.edu	1	25517
rosenzweig	1	25518
rosewood	1	25519
ross	1	25520
rostand	2	25521
roster	1	25523
rostrum	1	25524
rot	1	25525
rotten	1	25526
rough	6	25527
round	4	25533
rourk	2	25537
rous	1	25539
rout	1	25540
routin	3	25541
roxann	2	25544
royal	1	25546
rozsa	1	25547
rub	1	25548
rube	1	25549
rubi	1	25550
rude	3	25551
ruffian	1	25554
ruin	3	25555
rule	5	25558
rumbl	1	25563
rumor	3	25564
run	31	25567
runaway	1	25598
runner	2	25599
rupert	2	25601
rural	1	25603
rush	1	25604
russ	1	25605
russel	2	25606
russia	1	25608
russian	2	25609
rutger	2	25611
ruth	2	25613
ruthless	2	25615
ry	1	25617
rydstrom	1	25618
rye	1	25619
s.a	1	25620
s.o.b	1	25621
saavik	1	25622
saccharin	1	25623
sacr	2	25624
sacrif	1	25626
sacrific	2	25627
sad	3	25629
saddl	3	25632
sadi	1	25635
sadist	1	25636
saeed	1	25637
safe	8	25638
safest	1	25646
safeti	2	25647
safeway	1	25649
said	22	25650
saint	1	25672
sake	4	25673
salaci	1	25677
salari	1	25678
sale	2	25679
salem	1	25681
salesman	1	25682
salesmen	2	25683
salieri	1	25685
salkind	1	25686
saloon	2	25687
salt	2	25689
salvat	1	25691
sam	5	25692
same	39	25697
sampl	1	25736
samurai	1	25737
san	3	25738
sanctimoni	1	25741
santa	1	25742
santana	1	25743
santeria	1	25744
santerian	1	25745
sap	1	25746
sara	2	25747
sarandon	3	25749
sardon	2	25752
sat	3	25754
satan	1	25757
sate	1	25758
satir	6	25759
satisfact	1	25765
satisfactori	1	25766
satisfi	6	25767
saturday	5	25773
satyr	1	25778
sauvag	1	25779
savag	1	25780
save	11	25781
savior	1	25792
saw	28	25793
say	46	25821
sb6	15	25867
