Filename 	 Title 	 Reviewer 	 Snippet 	 Rate
0088.html	Trancers (1985)	Jeff Meyer	TRANCERS (USA, 1982) Director: Charles Band Screenwriters: Danny Bilson, Paul de Meo Cast: Tim Thomerson, Helen Hunt, Michael Stefani, Art La Fleur This film is probably familiar to those of you who have righteous cable service, but to those of us who don't, it's a mystery. It was made before BLADERUNNER or THE TERMINATOR, but it has elements of both.	N
 

 
0089.html	Jean de Florette (1986)	Jeff Meyer	Seen at the Seattle Film Festival: JEAN de FLORETTE (French, 1986) Director: Claude Berri Screenwriters: Claude Berri, Gerard Brach; based on a novel by Marcel Pagnol Cast: Yves Montand, Gerard Depardieu, Daniel Auteuil, Elisabeth Depardieu Subtitled This is the first half of what is being described as a "French Epic"; it is an adaptation of a fairly well-known French novel about the efforts of two bachelor farmers, an older man and his rat-faced nephew, who covet the spring on the land of their neighbor.	N
 

 
0090.html	Good Morning, Babylon (1987)	Jeff Meyer	Seen at the Seattle Film Festival: GOOD MORNING, BABYLON (USA/Italy, 1987) Directors: Paolo and Vittorio Taviani Story and Screenplay: Paolo and Vittorio Taviani; screenplay in collaboration with Tonino Guerra Cast: Vincent Spano, Joaquim De Almeida, Greta Scacchi, Desiree Becker, Omero Antonutti, and Carles Dance as D.W. Griffith Partially subtitled. This was the much ballyhooed closing film at the festival, made by the Brothers Tavianni who have gained such fame from films like KAOS and NIGHT OF THE SHOOTING STARS; an Italian/American production, it tells the story of two brothers, skilled artisans who move to America to practice their trade.	N
 

 
0092.html	Ceddo (1978)	Mark R. Leeper	Capsule review: Micro-epic from Senegal. The film is weak on style, acting, and pacing, but has a really good story. Never released in Senegal, nominally over a disagreement about the spelling of the title, but more likely for anti-Islamic sentiments. Imagine, if you will, a story written for Akira Kurosawa. castles.	P
 

 
0093.html	Full Metal Jacket (1987)	Stuart Cracraft	FULL METAL JACKET is a disappointment. After a rabble-rousing first 5-10 minutes, the absurdly funny drill sergeant becomes repetitive and boring. The portrayal of a young, overweight recruit's difficulty in fitting in is interesting at first, but by the time all his comrades beat him senseless with towels-wrapped-with-soap, it becomes quite clear what Kubrick is trying to tell us about life and people.	N
 

 
0094.html	Sweet Lorraine (1987)	Miriam Nadel	There used to be an ad for Levy's rye bread which said, "You don't have to be Jewish" and the sentiment is appropriate for this movie as well. The "Sweet Lorraine" of the title is a small Catskills hotel, suffering from competition with ritzier places. The plot is a simple one--Molly Garber, the granddaughter of the Lorraine's owner, arrives to work for the summer and falls in love with the hotel, while her grandmother is debating whether or not to sell and close the place.	P
 

 
0095.html	Roxanne (1987)	Steve Miller	Summary: Steve Martin plays Cyrano to Daryl Hannah's Roxanne in a modernized version of Rostand's play. This is mostly a vehicle for Martin, who plays a fire chief, rather than a swordsman. His physical acting ability is combined with some truly witty dialog, making for a very funny performance. Seeing this movie was a bit frightening to me, I have to admit.	P
 

 
0096.html	Mona Lisa (1986)	Mark R. Leeper	[This review was written last year. MONA LISA was recently released on videocassette, and since it had only a limited theatrical release, I thought it might be worth pointing out. People are encouraged to send me more reviews of lesser-known films when they come out on videocassette. -ecl] It has been observed that there are many foreign language films that could do much better at the boxoffice if they were done in English.	P
 

 
0097.html	Labyrinth (1986)	Brian Reid	PREFACE: I read a lot of movie reviews in this newsgroup, but I never see reviews of the movies that I see. That's because I mostly see movies with my two young daughters these days. When the kids spend 40 hours a week in day care I can't see hiring a babysitter while I watch PRICK UP YOUR EARS or BLUE VELVET in a theater.	N
 

 
0098.html	Roxanne (1987)	Mark R. Leeper	Capsule review: Funny, intelligent updating of CYRANO DE BERGERAC has something to say about the nature of beauty without ever failing to entertain. Unfortunately, Martin's script cops out at the end, denying the audience the power of the end of CYRANO. Steve Martin's new film has the best plot of date.	P
 

 
0099.html	Adventures in Babysitting (1987)	Steve Fritzinger	Chris is a high school senior from the suburbs of Chicago. After her boyfriend breaks their date, she agrees to baby-sit the Anderson's little girl. Soon after the parents leave, Chris gets a call from her best friend, Brenda. Brenda ran away, made it to the downtown bus station before her money and resolve ran out, and wants Chris to drive into the city to pick her up.	P
 

 
0101.html	Innerspace (1987)	Steve Fritzinger	INNERSPACE retells the FANTASTIC VOYAGE story, this time going for, and getting, laughs. Dennis Quaid plays Tuck Pendelton, a washed-up fighter pilot with an ego the size of a truck. He is to man the first miniaturized exploration of a living animal. When the experiment is interrupted by industrial spies, Pendelton is accidentally injected into the rear end of Jack Putter, a Safeway clerk played by Martin Short.	N
 

 
0102.html	Dragnet (1987)	Mark R. Leeper	Capsule review: Parody of successful summertime action movies with Dan Aykroyd doing impressions of Jack Webb. It is unclear how Aykroyd found out how Webb talks as he has apparently never seen an episode of DRAGNET. Dan Aykroyd grew up in the 50s and 60s; later in improvisational comedy he time.	N
 

 
0103.html	My Beautiful Laundrette (1985)	Mark R. Leeper	[This is another retrospective of a film which had limited theatrical release and is just now becoming available on videocassette. Also, the director, Stephen Frears, has just released another film, PRICK UP YOUR EARS. -ecl] Capsule review: A serious plot rife with unexpected twists combines with some nice comic touches to make this film about a Pakistani family a memorable one.	P
 

 
0104.html	Quiet Earth, The (1985)	Mark R. Leeper	[This film has recently been released to cable. -ecl] In 1951 Arch Oboler made the film FIVE about a limited number of people who had survived a nuclear war. Every so often Hollywood makes another film about the last handful of people in a post-holocaust world. Notable was THE WORLD, THE FLESH, AND THE DEVIL, a 1958 film with Harry Belafonte and Mel Ferrer as the last people on Earth and of course in a love triangle.	P
 

 
0105.html	Innerspace (1987)	Mark R. Leeper	Capsule review: FANTASTIC VOYAGE crossed with FOUL PLAY makes for another science fiction comedy cut from the same mold as BACK TO THE FUTURE. INNERSPACE does not always make sense, but it is just about always fun. (Spoiler warning: major elements of the plot are presented first as minor surprise plot twists.	P
 

 
0106.html	RoboCop (1987)	Steve Fritzinger	The Terminator is back, and this time he's a good guy. In this future the police force is run as a for-profit division of Security Concepts Inc., and an up-and-coming young executive thinks he can eliminate crime and get himself a vice-presidency with his Robocop project. Peter Weller is Alex Murphy, a Detroit cop killed in the line of duty, who has been "recycled" by SCI's labs.	P
 

 
0107.html	RoboCop (1987)	Mark R. Leeper	Capsule review: Featherweight and violent super-hero comic book on film about a cyborg policeman protecting the streets of Detroit. Paul Verhoeven is one of the last directors I would expect to make this fun but unoriginal action film. The place is Detroit. the time is some undefinable date in the future.	P
 

 
0108.html	RoboCop (1987)	Craig Good	Yo! What a summer we're having! If you can't find a movie to jazz you this year then you were weaned on a pickle. And just when I though 1987 had peaked, enter ROBOCOP. Remember how STAR WARS combined a lot of things you had seen before into something you'd never seen before? This is like that in several ways.	N
 

 
0109.html	Straight to Hell (1987)	Steve Fritzinger	In STRAIGHT TO HELL, three inept hitmen/bankrobbers and their moll spend four days hiding out south of the border. Which border is never really clear, but they have defiantly crossed into a weird place. On the lam in a town run by Irish bandits, they drink a lot of coffee, beat up a hot dog vendor, and spend a lot of time talking about, but never actually having, sex.	N
 

 
0110.html	Lost Boys, The (1987)	Mark R. Leeper	Capsule review: Moody photography and baroque sets constitute most of the value of this punk-vampire film about the undead on motorcycles and pre-teen Van Helsings. The story plays a little fast and loose with traditional vampire lore. Back when Hammer Films was making its best vampire films--and they were some metaphor.	P
 

 
0111.html	Summer School (1987)	Dan Frank	It's gotten to the point now that when I see a Carl Reiner film advertised, I say, "Aha! That's like a Rob Reiner film, except that it's not original!" Both father and son make technically clean movies with good laughs and pleasant people. Apparently, Rob takes a little more time choosing his scripts, which is probably why we see his work a little less frequently.	P
 

 
0112.html	La Bamba (1987)	Ellen Eades	By this I mean that it's very difficult for me to really enjoy a movie that contains masterpieces of scary-monster makeup, things that go bump in the night, or sex that is so steamy I start feeling vicariously sore, or that acquaints me intimately with things that should have stayed inside human bodies rather than being exposed to the light and heat of the camera.	P
 

 
0113.html	RoboCop (1987)	Dale L. Skran, Jr.	Let us cross pens. Mark and I have a number of long-running debates, including one on the value of movies like DREAMSCAPE, TERMINATOR, and ROBOCOP, and another on the adaptability of super-hero comics to film. If I may be somewhat cavalier, Mark tends to feel these films are unexceptional, while I feel they serve the special purpose of bringing standard SF ideas to a movie audience generally unfamiliar with them.	N
 

 
0114.html	Fly, The (1986)	Mark R. Leeper	THE FLY has been considered one of the great science fiction horror films for many years. Perhaps millions of children have frightened younger brothers and sisters with falsetto cries of "Help me! Please! Help me!" It was a natural for a remake and in 1984 Brooksfilm bought a screen adaptation by Charles Edward Pogue (who also scripted PSYCHO III) and Walon green.	P
 

 
0115.html	Superman IV: The Quest for Peace (1987)	Jeff Meyer	I really shouldn't be surprised; in fact, I should have avoided this on principle; but I really enjoyed SUPERMAN and thought SUPERMAN II was adequate, and seeing Gene Hackman's name on the roster (and David and Leslie Newman's names off it) gave me some hope that we might have something up to SUPERMAN II, something corny but with enough grit to keep my attention.	P
 

 
0116.html	Superman IV: The Quest for Peace (1987)	Jon Glazer	I just got back from seeing the new SUPERMAN IV: THE QUEST FOR PEACE. What a joke! The theatre was anything but peaceful; everyone kept laughing at the unreal circumstances Mr. "man" kept getting into and out of. As you'll notice in the opening credits (in the end ones too, if you're not in too much of a hurry to get out before anyone recognizes you), Reeve himself co-wrote this epic.	P
 

 
0117.html	Superman IV: The Quest for Peace (1987)	rosenzw@svax.cs.cornell.edu	This has got to be the worst movie I've blown five bucks on in a very long time. Parts of it were, however, so bad that they were funny (Look, up in the sky, it's a bird, it's a plane - it's a statue! ). By the way, after irrelevant scene 1, superman saving Soviet spacecraft, when he hit the baseball in irrelevant scene 2, did anyone else think it was going to hit the spacecraft (Look out Ivan - here we go again!).	N
 

 
0118.html	Living Daylights, The (1987)	Craig Good	After the last Bond flick I thought that 007 was dead. The plot had become metastasized with silliness, and Roger Moore was beginning to creak. The rumors about Pierce Brosnan confirmed that the movies were about to descend into terminal foppishness. The long-running series of James Bond adventures were going out with a whimper.	P
 

 
0119.html	Living Daylights, The (1987)	Jeff Meyer	Well, yes, I enjoyed THE LIVING DAYLIGHTS, not just parts of it, but the entire film, straight through. The Friday night audience I was in laughed uproariously several times and seemed to come out with pretty pleased expressions on their collective faces. However, for those of you who are reading the local movie reviews heralding a "new beginning" for the James Bond series...not	NA
 

 
0120.html	Living Daylights, The (1987)	Mark R. Leeper	Pretty close to a quarter of a century ago the first James Bond film blazed (at times literally) across the screen. It presented a lithe young Bond played, of course, by Sean Connery. It was popular, so a second one was made to give the audiences more. As each successive film was a smash the producers kept trying to give the audiences the same, only more: the same actors, bigger, more powerful, and more fanciful villains with bigger plans, and more bizarre henchmen.	P
 

 
0121.html	Stakeout (1987)	Mark R. Leeper	There are all kinds of police films coming out this year. The more notable among them are THE UNTOUCHABLES, BEVERLY HILLS COPS II, LETHAL WEAPON, and DRAGNET. The newest addition to the list is John Badham's STAKEOUT. STAKEOUT is unlikely to earn at the boxoffice anything like those four films, yet of the four, only THE UNTOUCHABLES may be a better film.	P
 

 
0122.html	Adventures in Babysitting (1987)	Mark R. Leeper	Back in the 50s and 60s, society seemed safe and simple. With the exception of a few crime and juvenile delinquent films it seemed that if you simply behaved yourself you would lead a calm and placid existence. As we perceive society getting weirder, we see more films of people doing normal things that wind them up in the middle of real chaos, particularly over a single night.	N
 

 
0124.html	Living Daylights, The (1987)	Peter Reiher	The bi-annual Bond film has appeared again, and, thankfully, it's a great improvement on the last few. THE LIVING DAYLIGHTS is the best Bond film since FOR YOUR EYES ONLY, and, before that, one would have to go all the way back to the Sean Connery films to find its equal.	P
 

 
0126.html	Angelic Conversation, The (1985)	William Tsun-Yuk Hsu	Music by Ennio Morricone. This was supposed banned (somewhere) for many years. This early Algerian production is a gritty drama about the liberation of Algiers from the French. It's a fairly straightforward political thriller, and it's hard to tell why it was banned (perhaps for political reasons?). The only "objectionable" scenes are one or two depicting the torture of Algerian revolutionaries.	N
 

 
0127.html	Back to the Beach (1987)	Terry Laskodi	"Aren't we the corniest couple you ever saw?" asks Annette Funicello at the end of BACK TO THE BEACH. And the answer is: a resounding yes!!! BACK TO THE BEACH is actually a parody of all of the "beach" movies of the early '60s Annette made with teen-age heartthrob Frankie Avalon, combining different elements of the seven movies made.	P
 

 
0128.html	Back to the Beach (1987)	Mark R. Leeper	Twenty-five to twenty years ago, American International Pictures had targeted a teen-age audience and was churning out cheap films for a ready market. Their main staples were quickly-thrown-together horror films and their "Beach Party" series. That series included BEACH PARTY (1963), MUSCLE BEACH PARTY (1964), BIKINI BEACH (1964), PAJAMA PARTY (1964), BEACH BLANKET BINGO (1965), HOW TO STUFF A WILD BIKINI (1965), and GHOST IN THE INVISIBLE BIKINI (1966).	NA
 

 
0129.html	Who's That Girl? (1987)	Dan Frank	Imagine this premise: a vaguely owlish junior member of New York society is due to be married to a spoiled, stupid socialite. By accident, he is saddled with a strange and impulsive woman, who gets him in a lot of trouble with his stuffy associates. There is a large member of the leopard family involved, over whom the strange woman has a certain measure of authority.	N
 

 
0130.html	Nadine (1987)	Dan Frank	When we go to the movies, we generally resign ourselves to enjoying the films in spite of their imperfections. We say, "I enjoyed this light comedy, even though it was totally shallow and predictable," or "This was a fun excursion into empty-minded comic-book-style violence," or something of that sort. It's rare to walk out of a movie and not think that somehow it could have been better.	P
 
